L	L_Alt	L_Operon	L_Alt_Operon	SD	UTR	SD_Operon	UTR_Operon	Not assigned
Rv2870c				Rv2516c	Rv2121c			Rv0962c
Rv2871				Rv2518c	Rv2127			Rv0963c
Rv2880c				Rv2519	Rv2128			Rv0964c
Rv2887				Rv2524c	Rv2136c			Rv0965c
Rv2894c				Rv2559c	Rv2138			Rv0966c
Rv2903c				Rv2583c	Rv2139			Rv0971c
Rv2914c				Rv2588c	Rv2146c			Rv0972c
Rv2916c				Rv2589	Rv2158c			Rv0973c
Rv2923c				Rv2590	Rv2160A			Rv0974c
Rv2941				Rv2597	Rv2161c			Rv0975c
Rv2953				Rv2606c	Rv2165c			Rv0976c
Rv2954c				Rv2607	Rv2173			Rv0978c
Rv2956				Rv2623	Rv2183c			Rv0979c
Rv2963				Rv2624c	Rv2193			Rv0980c
Rv2968c				Rv2626c	Rv2198c			Rv0985c
Rv2979c				Rv2629	Rv2200c			Rv0986
Rv2981c				Rv2632c	Rv2209			Rv0987
Rv2989				Rv2634c	Rv2214c			Rv0988
Rv2991				Rv2645	Rv2219A			Rv0989c
Rv2994				Rv2668	Rv2231B			Rv0990c
Rv2996c				Rv2683	Rv2237			Rv0992c
Rv3005c				Rv2688c	Rv2238c			Rv0998
Rv3006				Rv2691	Rv2245			Rv0999
Rv3009c				Rv2694c	Rv2250A			Rv1000c
Rv3010c				Rv2702	Rv2255c			Rv1003
Rv3012c				Rv2703	Rv2256c			Rv1004c
Rv3025c				Rv2710	Rv2271			Rv1005c
Rv3030				Rv2711	Rv2275			Rv1007c
Rv3038c				Rv2714	Rv2280			Rv1008
Rv3046c				Rv2718c	Rv2289			Rv1022
Rv3050c				Rv2721c	Rv2293c			Rv1023
Rv3055				Rv2724c	Rv2307D			Rv1024
Rv3068c				Rv2729c	Rv2308			Rv1025
Rv3073c				Rv2732c	Rv2314c			Rv1026
Rv3083				Rv2744c	Rv2329c			Rv1027c
Rv3091				Rv2745c	Rv2331A			Rv1028A
Rv3095				Rv2749	Rv2336			Rv1028c
Rv3099c				Rv2766c	Rv2337c			Rv1029
Rv3141				Rv2775	Rv2339			Rv1030
Rv3142c				Rv2780	Rv2342			Rv1032c
Rv3161c				Rv2785c	Rv2350c			Rv1034c
Rv3172c				Rv2792c	Rv2352c			Rv1037c
Rv3173c				Rv2798c	Rv2357c			Rv1038c
Rv3190c				Rv2808	Rv2360c			Rv1039c
Rv3194c				Rv2811	Rv2368c			Rv1040c
Rv3198A				Rv2825c	Rv2374c			Rv1044
Rv3198c				Rv2839c	Rv2375			Rv1045
Rv3210c				Rv2841c	Rv2376c			Rv1047
Rv3214				Rv2842c	Rv2386c			Rv1048c
Rv3224				Rv2853	Rv2388c			Rv1050
Rv3226c				Rv2856	Rv2390c			Rv1051c
Rv3237c				Rv2860c	Rv2391			Rv1053c
Rv3238c				Rv2867c	Rv2402			Rv1057
Rv3261				Rv2868c	Rv2405			Rv1058
Rv3266c				Rv2882c	Rv2411c			Rv1059
Rv3267				Rv2892c	Rv2414c			Rv1060
Rv3271c				Rv2895c	Rv2421c			Rv1062
Rv3278c				Rv2909c	Rv2431c			Rv1063c
Rv3279c				Rv2919c	Rv2448c			Rv1064c
Rv3280				Rv2927c	Rv2457c			Rv1067c
Rv3283				Rv2935	Rv2459			Rv1068c
Rv3290c				Rv2936	Rv2461c			Rv1070c
Rv3291c				Rv2940c	Rv2463			Rv1071c
Rv3295				Rv2950c	Rv2464c			Rv1076
Rv3298c				Rv2959c	Rv2468c			Rv1084
Rv3303c				Rv2965c	Rv2470			Rv1087A
Rv3306c				Rv2970c	Rv2473			Rv1088
Rv3310				Rv2971	Rv2477c			Rv1089
Rv3311				Rv2975c	Rv2478c			Rv1090
Rv3312A				Rv2986c	Rv2484c			Rv1091
Rv3321c				Rv3016	Rv2485c			Rv1100
Rv3330				Rv3033	Rv2489c			Rv1101c
Rv3336c				Rv3035	Rv2495c			Rv1103c
Rv3356c				Rv3043c	Rv2497c			Rv1105
Rv3360				Rv3045	Rv2513			Rv1112
Rv3368c				Rv3059	Rv2531c			Rv1114
Rv3372				Rv3061c	Rv2549c			Rv1115
Rv3390				Rv3065	Rv2556c			Rv1116
Rv3391				Rv3069	Rv2560			Rv1118c
Rv3392c				Rv3086	Rv2565			Rv1119c
Rv3393				Rv3092c	Rv2572c			Rv1120c
Rv3396c				Rv3094c	Rv2575			Rv1123c
Rv3412				Rv3130c	Rv2584c			Rv1125
Rv3438				Rv3131	Rv2594c			Rv1128c
Rv3441c				Rv3134c	Rv2603c			Rv1129c
Rv3464				Rv3137	Rv2605c			Rv1130
Rv3466				Rv3144c	Rv2612c			Rv1131
Rv3489				Rv3151	Rv2621c			Rv1132
Rv3510c				Rv3159c	Rv2630			Rv1134
Rv3519				Rv3168	Rv2631			Rv1135A
Rv3531c				Rv3174	Rv2633c			Rv1136
Rv3546				Rv3177	Rv2643			Rv1137c
Rv3547				Rv3186	Rv2651c			Rv1138c
Rv3549c				Rv3188	Rv2657c			Rv1144
Rv3566c				Rv3193c	Rv2659c			Rv1145
Rv3575c				Rv3208	Rv2661c			Rv1146
Rv3580c				Rv3208A	Rv2665			Rv1147
Rv3585				Rv3219	Rv2673			Rv1148c
Rv3587c				Rv3223c	Rv2680			Rv1153c
Rv3588c				Rv3229c	Rv2684			Rv1154c
Rv3592				Rv3230c	Rv2693c			Rv1159
Rv3604c				Rv3245c	Rv2696c			Rv1160
Rv3617				Rv3248c	Rv2697c			Rv1170
Rv3623				Rv3249c	Rv2704			Rv1186c
Rv3634c				Rv3252c	Rv2705c			Rv1188
Rv3651				Rv3254	Rv2713			Rv1189
Rv3661				Rv3257c	Rv2715			Rv1190
Rv3666c				Rv3269	Rv2717c			Rv1191
Rv3667				Rv3274c	Rv2723			Rv1192
Rv3678A				Rv3275c	Rv2733c			Rv1193
Rv3682				Rv3287c	Rv2764c			Rv1201c
Rv3683				Rv3299c	Rv2770c			Rv1203c
Rv3688c				Rv3302c	Rv2772c			Rv1205
Rv3695				Rv3316	Rv2777c			Rv1206
Rv3697A				Rv3334	Rv2783c			Rv1212c
Rv3699				Rv3376	Rv2786c			Rv1214c
Rv3705A				Rv3389c	Rv2793c			Rv1225c
Rv3711c				Rv3443c	Rv2809			Rv1226c
Rv3721c				Rv3453	Rv2827c			Rv1228
Rv3731				Rv3456c	Rv2830c			Rv1231c
Rv3734c				Rv3457c	Rv2840c			Rv1236
Rv3744				Rv3460c	Rv2844			Rv1237
Rv3747				Rv3476c	Rv2845c			Rv1238
Rv3755c				Rv3477	Rv2851c			Rv1242
Rv3759c				Rv3478	Rv2852c			Rv1243c
Rv3761c				Rv3480c	Rv2869c			Rv1250
Rv3769				Rv3481c	Rv2879c			Rv1251c
Rv3773c				Rv3491	Rv2888c			Rv1254
Rv3779				Rv3499c	Rv2901c			Rv1255c
Rv3786c				Rv3501c	Rv2904c			Rv1256c
Rv3794				Rv3503c	Rv2905			Rv1259
Rv3809c				Rv3507	Rv2912c			Rv1263
Rv3816c				Rv3508	Rv2924c			Rv1264
Rv3826				Rv3511	Rv2930			Rv1265
Rv3831				Rv3526	Rv2942			Rv1267c
Rv3838c				Rv3532	Rv2943			Rv1268c
Rv3841				Rv3558	Rv2943A			Rv1276c
Rv3842c				Rv3571	Rv2949c			Rv1277
Rv3843c				Rv3572	Rv2951c			Rv1278
Rv3854c				Rv3576	Rv2952			Rv1279
Rv3869				Rv3583c	Rv2961			Rv1281c
Rv3888c				Rv3584	Rv2969c			Rv1282c
Rv3907c				Rv3589	Rv2970A			Rv1283c
				Rv3615c	Rv2988c			Rv1288
				Rv3616c	Rv2990c			Rv1289
				Rv3618	Rv2993c			Rv1290A
				Rv3627c	Rv3003c			Rv1296
				Rv3628	Rv3004			Rv1329c
