L	L_Alt	L_Operon	L_Alt_Operon	SD	UTR	SD_Operon	UTR_Operon	Not assigned
								Rv2738c
								Rv2739c
								Rv2741
								Rv2742c
								Rv2743c
								Rv2746c
								Rv2748c
								Rv2754c
								Rv2755c
								Rv2756c
								Rv2757c
								Rv2758c
								Rv2759c
								Rv2760c
								Rv2761c
								Rv2762c
								Rv2765
								Rv2767c
								Rv2768c
								Rv2769c
								Rv2774c
								Rv2776c
								Rv2779c
								Rv2787
								Rv2794c
								Rv2795c
								Rv2796c
								Rv2797c
								Rv2799
								Rv2800
								Rv2801A
								Rv2801c
								Rv2803
								Rv2804c
								Rv2805
								Rv2806
								Rv2807
								Rv2812
								Rv2813
								Rv2814c
								Rv2815c
								Rv2816c
								Rv2817c
								Rv2818c
								Rv2819c
								Rv2820c
								Rv2828A
								Rv2828c
								Rv2832c
								Rv2833c
								Rv2834c
								Rv2835c
								Rv2843
								Rv2848c
								Rv2850c
								Rv2855
								Rv2859c
								Rv2862A
								Rv2862c
								Rv2863
								Rv2864c
								Rv2866
								Rv2873
								Rv2874
								Rv2875
								Rv2876
								Rv2877c
								Rv2883c
								Rv2884
								Rv2885c
								Rv2886c
								Rv2889c
								Rv2890c
								Rv2891
								Rv2893
								Rv2896c
								Rv2897c
								Rv2898c
								Rv2906c
								Rv2910c
								Rv2911
								Rv2913c
								Rv2915c
								Rv2917
								Rv2918c
								Rv2920c
								Rv2921c
								Rv2922A
								Rv2922c
								Rv2928
								Rv2929
								Rv2944
								Rv2955c
								Rv2958c
								Rv2960c
								Rv2962c
								Rv2964
								Rv2966c
								Rv2967c
								Rv2972c
								Rv2973c
								Rv2974c
								Rv2977c
								Rv2980
								Rv2982c
								Rv2983
								Rv2984
								Rv2985
								Rv2997
								Rv2998
								Rv2998A
								Rv2999
								Rv3000
								Rv3007c
								Rv3008
								Rv3011c
								Rv3013
								Rv3014c
								Rv3015c
								Rv3017c
								Rv3018A
								Rv3018c
								Rv3019c
								Rv3020c
								Rv3022A
								Rv3022c
								Rv3023c
								Rv3026c
								Rv3032
								Rv3037c
								Rv3039c
								Rv3040c
								Rv3054c
								Rv3056
								Rv3063
								Rv3064c
								Rv3071
								Rv3072c
								Rv3074
								Rv3076
								Rv3077
								Rv3078
								Rv3079c
								Rv3082c
								Rv3090
								Rv3097c
								Rv3100c
								Rv3105c
								Rv3108
								Rv3110
								Rv3111
								Rv3112
								Rv3113
								Rv3114
								Rv3115
								Rv3116
								Rv3117
								Rv3118
								Rv3119
								Rv3120
								Rv3121
								Rv3122
								Rv3123
								Rv3124
								Rv3126c
								Rv3128c
								Rv3129
								Rv3143
								Rv3145
								Rv3146
								Rv3147
								Rv3148
								Rv3149
								Rv3150
								Rv3162c
								Rv3163c
								Rv3164c
								Rv3167c
								Rv3169
								Rv3170
								Rv3175
								Rv3178
								Rv3179
								Rv3181c
								Rv3183
								Rv3184
								Rv3185
								Rv3187
								Rv3189
								Rv3191c
								Rv3192
								Rv3196
								Rv3197
								Rv3199c
								Rv3201c
								Rv3202c
								Rv3216
								Rv3217c
								Rv3218
								Rv3227
								Rv3228
								Rv3231c
								Rv3233c
								Rv3234c
								Rv3235
								Rv3239c
								Rv3242c
								Rv3253c
								Rv3258c
								Rv3259
								Rv3262
								Rv3263
								Rv3276c
								Rv3277
								Rv3286c
								Rv3293
								Rv3294c
								Rv3296
								Rv3297
								Rv3300c
								Rv3307
								Rv3308
								Rv3309c
								Rv3314c
								Rv3322c
								Rv3323c
								Rv3324A
								Rv3324c
								Rv3325
								Rv3326
								Rv3328c
								Rv3332
								Rv3333c
								Rv3337
								Rv3343c
								Rv3344c
								Rv3345c
								Rv3348
								Rv3349c
								Rv3350c
								Rv3351c
								Rv3352c
								Rv3353c
								Rv3354
								Rv3357
								Rv3358
								Rv3359
								Rv3361c
								Rv3362c
								Rv3363c
								Rv3369
								Rv3370c
								Rv3371
								Rv3373
								Rv3374
								Rv3375
								Rv3377c
								Rv3378c
								Rv3380c
								Rv3381c
								Rv3383c
								Rv3387
								Rv3388
								Rv3394c
								Rv3395A
								Rv3395c
								Rv3397c
								Rv3398c
								Rv3399
								Rv3405c
								Rv3406
								Rv3407
								Rv3413c
								Rv3414c
								Rv3415c
								Rv3417c
								Rv3424c
								Rv3425
								Rv3426
								Rv3427c
								Rv3428c
								Rv3429
								Rv3430c
								Rv3431c
								Rv3432c
								Rv3433c
								Rv3434c
								Rv3436c
								Rv3437
								Rv3439c
								Rv3440c
								Rv3445c
								Rv3446c
								Rv3447c
								Rv3448
								Rv3449
								Rv3450c
								Rv3451
								Rv3452
								Rv3454
								Rv3463
								Rv3467
								Rv3468c
								Rv3469c
								Rv3470c
								Rv3471c
								Rv3472
								Rv3473c
								Rv3474
								Rv3475
								Rv3482c
								Rv3483c
								Rv3485c
								Rv3487c
								Rv3488
								Rv3492c
								Rv3493c
								Rv3494c
								Rv3495c
								Rv3496c
								Rv3502c
								Rv3504
								Rv3505
								Rv3512
								Rv3513c
								Rv3514
								Rv3515c
								Rv3517
								Rv3518c
								Rv3521
								Rv3525c
								Rv3527
								Rv3529c
								Rv3530c
								Rv3533c
								Rv3534c
								Rv3535c
								Rv3537
								Rv3538
								Rv3539
								Rv3540c
								Rv3541c
								Rv3542c
								Rv3544c
								Rv3545c
								Rv3548c
								Rv3551
								Rv3552
								Rv3553
								Rv3554
								Rv3555c
								Rv3559c
								Rv3560c
								Rv3561
								Rv3562
								Rv3563
								Rv3564
								Rv3565
								Rv3573c
								Rv3577
								Rv3578
								Rv3579c
								Rv3586
								Rv3590c
								Rv3591c
								Rv3594
								Rv3619c
								Rv3620c
								Rv3621c
								Rv3622c
								Rv3624c
								Rv3625c
								Rv3629c
								Rv3630
								Rv3631
								Rv3632
								Rv3635
								Rv3637
								Rv3638
								Rv3639c
								Rv3640c
								Rv3643
								Rv3645
								Rv3649
								Rv3650
								Rv3652
								Rv3653
								Rv3654c
								Rv3656c
								Rv3657c
								Rv3658c
								Rv3659c
								Rv3662c
								Rv3663c
								Rv3664c
								Rv3665c
								Rv3670
								Rv3675
								Rv3689
								Rv3690
								Rv3691
								Rv3692
								Rv3693
								Rv3696c
								Rv3700c
								Rv3707c
								Rv3712
								Rv3713
								Rv3714c
								Rv3717
								Rv3718c
								Rv3719
								Rv3728
								Rv3730c
								Rv3736
								Rv3737
								Rv3738c
								Rv3739c
								Rv3743c
								Rv3745c
								Rv3751
								Rv3752c
								Rv3757c
								Rv3762c
								Rv3763
								Rv3770A
								Rv3772
								Rv3784
								Rv3785
								Rv3787c
								Rv3792
								Rv3793
								Rv3795
								Rv3796
								Rv3798
								Rv3812
								Rv3813c
								Rv3817
								Rv3820c
								Rv3828c
								Rv3829c
								Rv3830c
								Rv3832c
								Rv3833
								Rv3834c
								Rv3835
								Rv3836
								Rv3839
								Rv3844
								Rv3845
								Rv3851
								Rv3860
								Rv3861
								Rv3862c
								Rv3884c
								Rv3885c
								Rv3886c
								Rv3889c
								Rv3892c
								Rv3894c
								Rv3895c
								Rv3900c
								Rv3901c
								Rv3903c
								Rv3904c
								Rv3905c
								Rv3906c
