NCBI GeneID	Symbol	Description	Taxonomic Name	Gene Type	Gene Group Identifier	Gene Group Method
887787	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886823	mce1A	Mce family protein Mce1A	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887286	ilvB1	acetolactate synthase large subunit IlvB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887877	groEL1	chaperonin GroEL	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888430	lipF	carboxylesterase LipF	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885396	tlyA	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888166	hupB	DNA-binding protein HU	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887023	pknH	serine/threonine-protein kinase PknH	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887597	ptkA	protein tyrosine kinase transcriptional regulator PtkA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888819	cyp51	lanosterol 14-alpha demethylase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885501	pykA	pyruvate kinase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886129	ubiA	decaprenyl-phosphate phosphoribosyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887634	alr	alanine racemase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888493	ald	L-alanine dehydrogenase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885286	arfA	peptidoglycan-binding protein ArfA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888839	fprA	NADPH-ferredoxin reductase FprA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885311	Rv1747	ABC transporter ATP-binding protein/permease	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887354	ligA	DNA ligase A	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888590	ideR	iron-dependent repressor and activator IdeR	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888743	mtrA	two component DNA-binding response regulator MtrA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885502	crp	cAMP receptor protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886097	lpqH	lipoprotein LpqH	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886198	espJ	ESX-1 secretion-associated protein EspJ	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887854	Rv3583c	RNA polymerase-binding transcription factor CarD	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885905	ndkA	nucleoside diphosphate kinase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885946	dnaK	chaperone protein DnaK	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886370	xthA	exodeoxyribonuclease III protein XthA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886752	mmpL3	transmembrane transport protein MmpL3	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887782	cyp125	steroid C26-monooxygenase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886001	mazF3	mRNA interferase MazF3	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887598	whiB3	redox-responsive transcriptional regulator WhiB3	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885724	pstS1	phosphate ABC transporter substrate-binding lipoprotein PstS	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888176	clpP1	ATP-dependent CLP protease proteolytic subunit 1	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885091	argR	arginine repressor	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885092	leuA	2-isopropylmalate synthase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885365	argH	argininosuccinate lyase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886440	clpB	chaperone protein ClpB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
