NCBI GeneID	Symbol	Description	Taxonomic Name	Gene Type	Gene Group Identifier	Gene Group Method
888582	Rv1219c	transcriptional regulator	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888609	sigL	ECF RNA polymerase sigma factor SigL	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888610	Rv2617c	transmembrane protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888655	Rv3083	FAD-containing monooxygenase MymA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888666	fadD13	long chain-fatty-acid--CoA ligase FadD13	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888695	PE_PGRS11	PE-PGRS family protein PE_PGRS11	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888706	Rv2251	flavoprotein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888717	sseA	thiosulfate sulfurtransferase SseA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888744	rubB	rubredoxin RubB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888769	fabD	malonyl CoA-acyl carrier protein transacylase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888821	desA3	stearoyl-CoA 9-desaturase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888846	mesT	epoxide hydrolase MesT	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888893	ggtA	bifunctional cephalosporin acylase/gamma-glutamyltranspeptidase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887977	rsbW	anti-sigma factor RsbW	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885209	prrA	two component transcriptional regulator PrrA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886105	hisC2	histidinol-phosphate aminotransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888673	ftsX	cell division protein FtsX	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885049	Rv1700	NUDIX hydrolase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885082	Rv1708	initiation inhibitor protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885100	Rv1635c	mannosyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885140	serC	phosphoserine aminotransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885279	accD3	acetyl-CoAcarboxylase carboxyl transferase subunit beta	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885343	Rv0990c	hypothetical protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885377	espA	ESX-1 secretion-associated protein EspA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885444	desA1	acyl-ACP desaturase DesA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885602	Rv3717	hypothetical protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885671	rbsK	ribokinase RbsK	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885738	ilvG	acetolactate synthase large subunit IlvG	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885765	galE1	UDP-glucose 4-epimerase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885774	Rv0859	acyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885799	fadB	fatty oxidation protein FadB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885822	mbtE	peptide synthetase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885838	mbtB	phenyloxazoline synthase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885874	mbtF	peptide synthetase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885941	mazE3	antitoxin MazE3	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885961	Rv1957	SecB-like chaperone	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886064	accD2	acetyl-/propionyl-CoA carboxylase subunit beta	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886124	dprE2	decaprenylphosphoryl-D-2-keto erythropentose reductase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886139	pirG	cell surface protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886578	ctpD	cobalt/nickel-exporting P-type ATPase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886582	Rv1458c	antibiotic ABC transporter ATP-binding protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886587	Rv1457c	antibiotic ABC transporter permease	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886591	Rv1456c	antibiotic ABC transporter permease	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886650	Rv0265c	iron ABC transporter substrate-binding lipoprotein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886712	Rv1404	transcriptional regulator	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886714	Rv1405c	methyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886914	oxyS	oxidative stress response regulatory protein OxyS	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886985	oppA	oligopeptide ABC transporter substrate-binding lipoprotein OppA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887466	citE	citrate (pro-3S)-lyase subunit beta	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887470	Rv3034c	acetyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887485	Rv3586	DNA integrity scanning protein DisA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887508	prcB	proteasome subunit beta	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887548	mmpL7	transmembrane transport protein MmpL7	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887585	esxU	ESAT-6 like protein EsxU	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887587	esxT	ESAT-6 like protein EsxT	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887772	Rv2953	trans-acting enoyl reductase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887814	PPE36	PPE family protein PPE36	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887957	trcR	two component transcriptional regulator TrcR	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888041	ilvB2	acetolactate synthase large subunit	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888122	pks1	polyketide synthase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888219	mmpL5	transmembrane transport protein MmpL5	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888233	mmpS5	membrane protein MmpS5	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888269	Rv2181	alpha-(1-2)-phosphatidylinositol mannoside mannosyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888385	PPE62	PPE family protein PPE62	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888404	otsA	trehalose-phosphate synthase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888508	esxQ	ESAT-6 like protein EsxQ	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888627	pimA	alpha-(1-2)-phosphatidylinositol mannosyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888748	Rv3230c	stearoyl-CoA 9-desaturase electron transfer protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888943	otsB1	trehalose-6-phosphate phosphatase OtsB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885271	Rv3728	membrane protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885355	grcC2	polyprenyl-diphosphate synthase GrcC	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885911	rne	ribonuclease E	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886224	parA	chromosome partitioning protein ParA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886449	secE2	protein translocase subunit SecE	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886502	mazE4	antitoxin MazE4	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886556	PE_PGRS29	PE-PGRS family protein PE_PGRS29	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887160	mshA	D-inositol 3-phosphate glycosyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887170	Rv0485	transcriptional regulator	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887193	vapC20	ribonuclease VapC20	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887353	vapB20	antitoxin VapB20	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887461	dxs1	1-deoxy-D-xylulose 5-phosphate synthase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887463	gcpE	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887550	mmr	multidrug resistance protein Mmr	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887607	dacB1	penicillin-binding protein DacB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887647	grcC1	polyprenyl-diphosphate synthase GrcC	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887691	ppiB	peptidyl-prolyl cis-trans isomerase B	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887739	vapB26	antitoxin VapB26	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887747	vapC26	ribonuclease VapC26	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887802	Rv2752c	ribonuclease J	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887846	vapB4	antitoxin VapB4	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887983	murC	UDP-N-acetylmuramate--alanine ligase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888036	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol-N-acetylglucosamine transferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888080	dxs2	1-deoxy-D-xylulose-5-phosphate synthase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888191	Rv2459	MFS-type transporter	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888401	Rv1217c	tetronasin ABC transporter integral membrane protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888518	Rv1218c	tetronasin ABC transporter ATP-binding protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888840	rhlE	ATP-dependent RNA helicase RhlE	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888912	htrA	serine protease HtrA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888914	ctpG	cation transporter ATPase G	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888939	Rv2624c	universal stress protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515872	Rv3098A	PemK-like protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885246	rpfD	resuscitation-promoting factor RpfD	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885918	Rv1922	lipoprotein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885939	lprM	Mce family lipoprotein LprM	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886243	gid	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886549	Rv1473	macrolide ABC transporter ATP-binding protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886686	htdX	3-hydroxyacyl-thioester dehydratase HtdX	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887099	relE	toxin RelE	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888031	hadB	(3R)-hydroxyacyl-ACP dehydratase subunit HadB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885312	csoR	copper-sensing transcriptional repressor CsoR	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885534	proZ	glycine betaine/carnitine/choline/L-proline ABC transporter permease ProZ	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885581	proW	glycine betaine/carnitine/choline/L-proline ABC transporter permease ProW	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885787	esxW	ESAT-6 like protein EsxW	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885837	cspA	cold shock protein A	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886094	tcrY	two component sensor kinase TcrY	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886293	proV	glycine betaine/carnitine/choline/L-proline ABC transporter ATP-binding protein ProV	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886510	iniA	isoniazid inductible protein IniA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886844	mbtN	acyl-[acyl-carrier-protein] dehydrogenase MbtN	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886933	fadD10	fatty-acid--CoA ligase FadD10	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887092	dnaN	DNA polymerase III subunit beta	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887104	sugC	sugar ABC transporter ATP-binding protein SugC	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887121	sugB	sugar ABC transporter permease SugB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887124	sugA	sugar ABC transporter permease SugA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887202	fadD29	long-chain-fatty-acid--AMP ligase FadD29	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887495	Rv2859c	glutamine amidotransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887500	atsB	arylsulfatase AtsB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887594	sigD	ECF RNA polymerase sigma factor SigD	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887756	glnB	nitrogen regulatory protein P-II	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887852	Rv2175c	DNA-binding protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887925	Rv3413c	anti-sigma-D factor RsdA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887982	mas	multifunctional mycocerosic acid synthase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888023	ppsB	phthiocerol synthesis polyketide synthase type I PpsB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888144	atsD	arylsulfatase AtsD	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888154	Rv2654c	antitoxin	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888183	ppsA	phthiocerol synthesis polyketide synthase type I PpsA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888372	esxJ	ESAT-6 like protein EsxJ	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888394	atsA	arylsulfatase AtsA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888611	rslA	anti-sigma-L factor RslA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
2700466	rrl	23S ribosomal RNA	Mycobacterium tuberculosis H37Rv	rRNA		
885573	narG	nitrate reductase subunit alpha	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885589	pstA1	phosphate ABC transporter permease PstA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885596	panD	aspartate 1-decarboxylase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885751	ponA2	bifunctional penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885964	higA	antitoxin HigA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885966	higB	toxin HigB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886052	Rv1021	nucleoside triphosphate pyrophosphohydrolase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886200	espG1	ESX-1 secretion-associated protein EspG	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886203	espH	ESX-1 secretion-associated protein EspH	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886204	eccCa1	ESX-1 secretion system protein EccCa	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886269	lipE	lipase LipE	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886396	thiG	thiazole synthase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886535	Rv1478	peptidoglycan endopeptidase RipB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886900	ldtA	L,D-transpeptidase LdtA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887075	rodA	cell division protein RodA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887078	pbpA	penicillin-binding protein PbpA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887244	fadD3	fatty-acid--CoA ligase FadD3	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888523	Rv2074	pyridoxamine 5'-phosphate oxidase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885670	lprJ	lipoprotein LprJ	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886228	Rv3899c	hypothetical protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886320	Rv0465c	HTH-type transcriptional regulator	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886748	Rv0203	hypothetical protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886822	fadD5	fatty-acid--CoA ligase FadD5	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887017	lprA	lipoprotein LprA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887204	kstR	HTH-type transcriptional regulator KstR	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888719	mtrB	two component sensory histidine kinase MtrB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888929	purB	adenylosuccinate lyase PurB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885165	coaE	dephospho-CoA kinase CoaE	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886115	Rv3780	hypothetical protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886683	Rv1419	hypothetical protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887085	Rv0008c	cell wall synthesis protein CwsA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887239	TB16.3	hypothetical protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887396	aftC	alpha-(1->3)-arabinofuranosyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887438	fpg	formamidopyrimidine-DNA glycosylase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887659	lpdA	NAD(P)H quinone reductase LpdA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887927	Rv2179c	3'-5' exoribonuclease	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888715	manB	D-alpha-D-mannose-1-phosphate guanylyltransferase ManB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888895	Rv0774c	hypothetical protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885685	uvrA	excinuclease ABC subunit UvrA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885729	ureG	urease accessory protein UreG	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885732	ftsH	zinc metalloprotease FtsH	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886019	msrB	peptide methionine sulfoxide reductase MsrB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886995	Rv0079	hypothetical protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887135	Rv1057	hypothetical protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
11117810	vapB36	antitoxin VapB36	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515844	vapB1	antitoxin VapB1	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515850	vapB29	antitoxin VapB29	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515851	Rv0691A	mycofactocin precursor	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515852	vapB9	antitoxin VapB9	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515870	vapB23	antitoxin VapB23	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515879	aprB	acid and phagosome regulated protein AprB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515880	mymT	metallothionein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515883	vapC16	ribonuclease VapC16	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515889	mazE1	antitoxin MazE1	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515890	mazE6	antitoxin MazE6	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515891	mazE8	antitoxin MazE8	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515892	mazE9	antitoxin MazE9	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515893	aprA	acid and phagosome regulated protein AprA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515895	parD2	antitoxin ParD2	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515901	vapB16	antitoxin VapB16	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515903	vapB35	antitoxin VapB35	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
14515904	vapB48	antitoxin VapB48	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
19394683	Rv2975a	50S ribosomal protein L28	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205035	Rv0500A	DNA-binding protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205039	mazF1	toxin MazF1	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205040	Rv1498A	hypothetical protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205042	rpmG2	50S ribosomal protein L33	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205043	acyP	acylphosphatase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205044	Rv3395A	membrane protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205054	Rv1473A	transcriptional regulator	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205057	rpmF	50S ribosomal protein L32	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205061	Rv2943A	transposase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205068	Rv0841	transmembrane protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205070	Rv2401A	membrane protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205084	Rv3198A	glutaredoxin protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205085	vapB39	antitoxin VapB39	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205088	PE29	PE family protein PE29	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205091	rshA	anti-sigma factor RshA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205099	Rv2219A	membrane protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205108	vapB41	antitoxin VapB41	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205109	Rv1159A	4a-hydroxytetrahydrobiopterin dehydratase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205116	mazE7	antitoxin MazE7	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885039	dppD	dipeptide ABC transporter ATP-binding protein DppD	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885042	Rv0913c	dioxygenase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885046	Rv0914c	lipid carrier protein or keto acyl-CoA thiolase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885048	pyrG	CTP synthase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885053	gshA	glutamate--cysteine ligase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885055	Rv1701	tyrosine recombinase XerD	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885057	nanT	sialic acid-transport integral membrane protein NanT	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885058	nth	endonuclease III	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885059	Rv3693	membrane protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885060	Rv2324	AsnC family transcriptional regulator	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885064	Rv1627c	nonspecific lipid-transfer protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885065	Rv1648	transmembrane protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885066	Rv1703c	methyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885068	PPE22	PPE family protein PPE22	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885069	PPE14	PPE family protein PPE14	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885070	PPE23	PPE family protein PPE23	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885073	Rv1707	transmembrane protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885074	polA	DNA polymerase I	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885076	Rv0794c	oxidoreductase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885079	Rv3677c	beta lactamase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885084	rocE	cationic amino acid transporter permease RocE	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885085	purF	amidophosphoribosyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885087	thiX	thioredoxin ThiX	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885088	dnaQ	DNA polymerase III subunit epsilon	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885090	Rv1892	membrane protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885095	Rv0879c	transmembrane protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885097	PPE65	PPE family protein PPE65	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885098	Rv2659c	prophage integrase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885101	uspB	sugar ABC transporter permease UspB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885103	Rv0912	transmembrane protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885106	ctpJ	cation transporter ATPase J	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885107	Rv3689	transmembrane protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885108	pks7	polyketide synthase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885111	Rv0849	MFS-type transporter	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885112	pks10	chalcone synthase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885114	Rv3690	membrane protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885115	Rv1634	multidrug-efflux transporter	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885117	Rv1140	integral membrane protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885119	Rv1138c	oxidoreductase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885121	Rv0881	tRNA/rRNA methyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
